"serial_no","category","intm_id","page","name","trade_name","registration_no","email","telephone","fax_no","address","contact_person","correspondence_address","correspondence_email","correspondence_telephone","correspondence_fax","website","exchange_name","emails_all","phone_numbers_all","validity","source_url"
"1","Registered Portfolio Managers","33","1","1729 Advisors LLP","","INP000008464","Deepak@1729advisors.com","0008826758135","","B-1/ B, Near Signature Tower,, South City-1, DLF QE, Gurgaon Dlf qe, GURUGRAM, HARYANA, 122002","Radhika Vaz","B-1/ B, Near Signature Tower, South City-1, DLF QE, Gurgaon Dlf qe, GURUGRAM, HARYANA, 122002","","","","","","Deepak@1729advisors.com","0008826758135","Dec 13, 2023 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"2","Registered Portfolio Managers","33","1","2POINT2 CAPITAL ADVISORS LLP","","INP000005190","arvind@2point2capital.com","002249709470","002249709470","D-907, Oberoi Splendor, Opp. Majas Depot,, J.V. Link Road, Andheri East, MUMBAI, MAHARASHTRA, 400060","Arvind Kumar Patwa","914, The Summit Business Bay, Near W.E. Highway Metro Station, Andheri East, MUMBAI, MAHARASHTRA, 400093","","","","","","arvind@2point2capital.com","002249709470","Jun 30, 2016 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"3","Registered Portfolio Managers","33","1","360 ONE Alternates Asset Management Limited","","INP000008640","pmscompliance@360.one","9102248765600","9102248765600","360 ONE Centre, Kamala City, Lower Parel West, MUMBAI, MAHARASHTRA, 400013","Chirag Gandhi","360 ONE Centre, Kamala City, Lower Parel West, MUMBAI, MAHARASHTRA, 400013","","","","","","pmscompliance@360.one","9102248765600","Mar 27, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"4","Registered Portfolio Managers","33","1","360 ONE Asset Management Limited","","INP000004565","pmscompliance@360.one","9102248765496","9102248765496","6th Floor, IIFL Centre, Kamala City,, Senapati Bapat Marg, Lower Parel,, MUMBAI, MAHARASHTRA, 400013","Chinmayi Wagle","IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","","","","https://www.360.one/asset-management/pms/","","pmscompliance@360.one","9102248765496","Sep 25, 2014 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"5","Registered Portfolio Managers","33","1","360 ONE PORTFOLIO MANAGERS LIMITED","","INP000005874","regcompliance@iiflw.com","9102248765496","9102248765496","IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel West, MUMBAI, MAHARASHTRA, 400013","Purva Joshi","IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","","","","360.one/wealth-management/portfolio-managers/","","regcompliance@iiflw.com","9102248765496","Nov 28, 2017 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"6","Registered Portfolio Managers","33","1","A C CHOKSI SHARE BROKERS PRIVATE LIMITED","","INP000004730","","02261595100","02261595100","II ITTS HOUSE, 33 SRI SAI BABA MARG,, KALAGHODA, FORT., MUMBAI, MAHARASHTRA, 400001","ASHVIN C CHOKSI","II ITTS HOUSE, 33 SRI SAI BABA MARG, KALAGHODA, FORT., MUMBAI, MAHARASHTRA, 400001","","","","","","","02261595100","Jul 07, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"7","Registered Portfolio Managers","33","1","A. K. WEALTH MANAGEMENT PRIVATE LIMITED","","INP000003674","cs@akgroup.co.in","912267546500","912266100594","603, 6TH FLOOR, WINDSOR, OFF CST ROAD,, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","Tejas Dawda","603, 6TH FLOOR, WINDSOR, OFF CST ROAD, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","","","","akgroup.co.in/","","cs@akgroup.co.in","912267546500","May 30, 2016 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"8","Registered Portfolio Managers","33","1","AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED","","INP000004599","prabir.chatterjee@aarohanfinance.com","91404023546894","91404023546894","8 2 120 77 A, FIRST FLOOR, ROAD NO. 2, BANJARA HILLS, HYDERABAD, ANDHRA PRADESH, 500034","PRABIR CHATTERJEE","701 RICK ASHE BUILDING ST ANTHONY ROAD, BANDRA WEST, MUMBAI, MAHARASHTRA, 400050","","","","aarohanfinance.com/","","prabir.chatterjee@aarohanfinance.com","91404023546894","Dec 17, 2014 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"9","Registered Portfolio Managers","33","1","Aavishkaar Advisors Private Limited","","INP000008224","accountsavms@aavishkaar.in","91222261248900","91222261248900","Unit no 202, 203, 204, 2nd floor, Naman Centre, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Shyamkant Joshi","Unit no 202, 203, 204, 2nd floor, Naman Centre, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","","","","aavishkaarcapital.in/","","accountsavms@aavishkaar.in","91222261248900","Aug 07, 2023 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"10","Registered Portfolio Managers","33","1","Abakkus Asset Manager Private Limited","","INP000006457","","","","","","","","","","","","","","Mar 14, 2019 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"11","Registered Portfolio Managers","33","1","Abakkus Investment Managers Private Limited","","INP000009959","lijo.varghese@abakkusinvest.com","91919819032286","91919819032286","6th Floor, Param House, Shanti Nagar, Near Grand Hyatt,, Santacruz East,, MUMBAI, MAHARASHTRA, 400055","Lijo Varghese","Abakkus Corporate Centre, 9th Floor, Param House, Shanti Nagar, Near Grand Hyatt, Off Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","","","","https://www.abakkusmf.com/","","lijo.varghese@abakkusinvest.com","91919819032286","Apr 24, 2026 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"12","Registered Portfolio Managers","33","1","ABANS BROKING SERVICES PRIVATE LIMITED","","INP000006484","","","","","","","","","","","","","","Mar 27, 2019 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"13","Registered Portfolio Managers","33","1","ABCHLOR INVESTMENTS PRIVATE LIMITED","","INP000004904","himanshu@abchlor.com","02202240713322","02202240713322","409, Laxmi Mall, New Link Road, Andheri West, MUMBAI, MAHARASHTRA, 400053","HIMANSHU PERIWAL","409 Laxmi Mall New Link Road, Andheri West, MUMBAI, MAHARASHTRA, 400053","","","","www.investonline.in","","himanshu@abchlor.com","02202240713322","Nov 10, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"14","Registered Portfolio Managers","33","1","ABN Capital Asset Managers LLP","","INP000009685","apurva@abncapital.in","00919820817940","00919820817940","Flat No - 903, 9th Floor, West Side, Godrej Platinium Tower B-2, Pirojsha Nagar, Vikhroli,, MUMBAI, MAHARASHTRA, 400079","Apurva Iyer","B-308, Damji Shamji Corporate Square, Ghatkopar East, Mumbai, MUMBAI, MAHARASHTRA, 400075","","","","https://www.abncapital.in/","","apurva@abncapital.in","00919820817940","Nov 07, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"15","Registered Portfolio Managers","33","1","ACCELT ASSET MANAGEMENT LLP","","INP000009010","info@acceltasset.com","00918777614514","00918777614514","302, Kaveri Commercial Chs Ltd, Kaveri Building, Jagannath Mandir Road, Sakinaka, MUMBAI, MAHARASHTRA, 400072","Saurav Agarwal","302, Kaveri Commercial Chs Ltd, Kaveri Building, Jagannath Mandir Road, Sakinaka, MUMBAI, MAHARASHTRA, 400072","","","","acceltasset.com/","","info@acceltasset.com","00918777614514","Sep 26, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"16","Registered Portfolio Managers","33","1","Accuracap Consultancy Services Private Limited","","INP000008844","SB_ACCESS@ACCURACAP.COM","91919821653556","","2nd FLOOR 61 PANCHKUIAN ROAD, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","ISHU SINGHANIA","OFFICE NO 19, 9TH FLOOR , WAVE 1ST SILVER TOWER SECTOR 18, NOIDA, UTTAR PRADESH, 201301","","","","www.accuracap.com","","SB_ACCESS@ACCURACAP.COM","91919821653556","Jul 25, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"17","Registered Portfolio Managers","33","1","ACEPRO ADVISORS PRIVATE LIMITED","","INP000004854","","26528671","26528671","401 4th Floor Manek Plaza , 167 Vidyanagari Marg Kalina Santacruz E, MUMBAI, MAHARASHTRA, 400098","Nikhil Arya","159/11, Amar Brass Compound, Vidya Nagri Marg, Kalina, Santacruz (East), MUMBAI, MAHARASHTRA, 400098","","","","acepro.in","","","26528671","Sep 30, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"18","Registered Portfolio Managers","33","1","ACHINTYA SECURITIES LIMITED","","INP000006350","info@achintya.co.in","005126670700","","12th Floor, Unit No 1208, Dalal Street, Block No. 53 Building No. 53E, Road 5E, Zone 5, Gift City, Gandhi Nagar, GANDHINAGAR, GUJARAT, 382355","SUYASH BANSAL","Achintya Tower, 7/118E, SWAROOP NAGAR, KANPUR, UTTAR PRADESH, 208002","","","","","","info@achintya.co.in","005126670700","Jan 16, 2019 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"19","Registered Portfolio Managers","33","1","ADITYA BIRLA MONEY LIMITED","","INP000003757","","04439140403","04439140403","Indian Rayon Compound, Veraval, GUJARAT, 362266","Ravishankar Gopalan","ALi Centre, 53, Greams Road, CHENNAI, TAMIL NADU, 600006","","","","","","","04439140403","Aug 14, 2016 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"20","Registered Portfolio Managers","33","1","Aditya Birla Sun Life AMC Limited","","INP000000597","","","","","","","","","","","","","","Feb 01, 2017 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"21","Registered Portfolio Managers","33","1","ADROIT FINANCIAL SERVICES PRIVATE LIMITED","","INP000005349","","","","401-402, 4th Floor, , Angel Mega Mall, Kaushambi, GHAZIABAD, UTTAR PRADESH, 201010","","401-402, 4th Floor, Angel Mega Mall, Kaushambi, GHAZIABAD, UTTAR PRADESH, 201010","","","","adroitfinancial.com","","","","Feb 28, 2017 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"22","Registered Portfolio Managers","33","1","AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED","","INP000004417","neerav.shah@aequitasindia.in","0222659 2126","0222659 2126","A 1003, The Capital Building, , Behind ICICI Bank, BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051","Neerav Shah","1003, The Capital Building, BKC, MUMBAI, MAHARASHTRA, 400051","","","","","","neerav.shah@aequitasindia.in","0222659 2126","Dec 26, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"23","Registered Portfolio Managers","33","1","Affirma Capital Investment Adviser India Private Limited","","INP000008321","","","","","","","","","","","","","","Oct 03, 2023 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"24","Registered Portfolio Managers","33","1","Agreya Capital Advisors LLP","","INP000006077","krishnan@agreyacapital.com","008041690158","008041690158","No. 360, 6th Main, 1st Block,, Koramangala, BANGALORE, KARNATAKA, 560034","KRISHNAN V","No. 360, 6th Main, 1st Block, Koramangala, BANGALORE, KARNATAKA, 560034","","","","","","krishnan@agreyacapital.com","008041690158","Jul 18, 2018 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"25","Registered Portfolio Managers","33","1","AIALPHA FINANCIAL ADVISORY SERVICES PRIVATE LIMITED","","INP000009296","saji@aialpha.in","9107977092624","9107977092624","7A, Infra Gallant, Layam Road, KOCHI, KERALA, 682011","SAJI SUNILKUMAR","7A, Infra Gallant, Layam Road, KOCHI, KERALA, 682011","","","","","","saji@aialpha.in","9107977092624","Mar 03, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"26","Registered Portfolio Managers","33","2","Aikyam Capital Management LLP","","INP000010025","siddharth@aikyamcap.com","9102269752662","9102269752662","1203, Lotus Link Square, K3 and K4, CTS 195, Near Apna Bazar, D N Nagar, New Link Road, Andheri West, MUMBAI, MAHARASHTRA, 400053","Siddharth Jain","","","","","www.aikyamcap.com","","siddharth@aikyamcap.com","9102269752662","May 11, 2026 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
